"","Name_original","Name_std","ScientificName","Rank","Kingdom","Phylum","Order","Suborder","Infraorder","Family","Genus","Species","Subspecies","FHLCode","Taxonomy_source"
"352","Aplocnemus impressus","Aplocnemus impressus","Aplocnemus impressus (Marsham, 1802)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Dasytidae","Aplocnemus","Aplocnemus impressus",NA,"30-.002-.001-.","FHL"
"353","Aplocnemus nigricornis","Aplocnemus nigricornis","Aplocnemus nigricornis (Fabricius, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Dasytidae","Aplocnemus","Aplocnemus nigricornis",NA,"30-.002-.002-.","FHL"
"354","Aplocnemus tarsalis","Aplocnemus tarsalis","Aplocnemus tarsalis (C. R. Sahlberg, 1822)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Dasytidae","Aplocnemus","Aplocnemus tarsalis",NA,"30-.002-.005-.","FHL"
"355","Aploderus caelatus","Aploderus caelatus","Aploderus caelatus (Gravenhorst, 1802)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Aploderus","Aploderus caelatus",NA,"23-.047-.001-.","FHL"
"356","Apocatops nigritus","Apocatops nigrita","Apocatops nigrita (Erichson, 1837)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Apocatops","Apocatops nigrita",NA,"14-.0111.001-.","FHL"
"357","Apteropeda globosa","Apteropeda globosa","Apteropeda globosa (Illiger, 1794)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Chrysomelidae","Apteropeda","Apteropeda globosa",NA,"88-.069-.002-.","FHL"
"358","Apteropeda orbiculata","Apteropeda orbiculata","Apteropeda orbiculata (Marsham, 1802)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Chrysomelidae","Apteropeda","Apteropeda orbiculata",NA,"88-.069-.003-.","FHL"
"359","Apteropeda splendida","Apteropeda splendida","Apteropeda splendida Allard, 1860","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Chrysomelidae","Apteropeda","Apteropeda splendida",NA,"88-.069-.001-.","FHL"
"360","Archandra caspia","Archandra caspia","Archandra caspia (Ménétriés, 1832)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Archandra","Archandra caspia",NA,NA,"GBIF"
"361","Parandra caspia","Archandra caspia","Archandra caspia (Ménétriés, 1832)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Archandra","Archandra caspia",NA,NA,"GBIF"
"362","Archarius pyrrhoceras","Archarius pyrrhoceras","Archarius pyrrhoceras (Marsham, 1802)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Archarius","Archarius pyrrhoceras",NA,"93-.1101.011-.","FHL"
"363","Archarius salicivorus","Archarius salicivorus","Archarius salicivorus (Paykull, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Archarius","Archarius salicivorus",NA,"93-.1101.010-.","FHL"
"364","Arhopalus ferus","Arhopalus ferus","Arhopalus ferus (Mulsant, 1839)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Arhopalus","Arhopalus ferus",NA,"87-.008-.002-.","FHL"
"365","Arhopalus rusticus","Arhopalus rusticus","Arhopalus rusticus (Linnaeus, 1758)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Arhopalus","Arhopalus rusticus",NA,"87-.008-.001-.","FHL"
"366","Aromia moschata","Aromia moschata","Aromia moschata (Linnaeus, 1758)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Aromia","Aromia moschata",NA,"87-.045-.001-.","FHL"
"367","Sacium nanum","Arthrolips nana","Arthrolips nana (Mulsant & Rey, 1861)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Corylophidae","Arthrolips","Arthrolips nana",NA,"601.002-.004-.","FHL"
"368","Arthrolips obscura","Arthrolips obscura","Arthrolips obscura (C. R. Sahlberg, 1833)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Corylophidae","Arthrolips","Arthrolips obscura",NA,"601.002-.001-.","FHL"
"369","Arthrolips obscurus","Arthrolips obscura","Arthrolips obscura (C. R. Sahlberg, 1833)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Corylophidae","Arthrolips","Arthrolips obscura",NA,"601.002-.001-.","FHL"
"370","Asaphidion curtum","Asaphidion curtum","Asaphidion curtum (Heyden, 1870)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Asaphidion","Asaphidion curtum",NA,"01-.030-.005-.","FHL"
"371","Asaphidion flavipes","Asaphidion flavipes","Asaphidion flavipes (Linnaeus, 1760)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Asaphidion","Asaphidion flavipes",NA,"01-.030-.004-.","FHL"
"372","Asemum striatum","Asemum striatum","Asemum striatum (Linnaeus, 1758)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Asemum","Asemum striatum",NA,"87-.009-.001-.","FHL"
"373","Aspidapion radiolus","Aspidapion radiolus","Aspidapion radiolus (Marsham, 1802)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Apionidae","Aspidapion","Aspidapion radiolus",NA,"925.007-.001-.","FHL"
"374","Arpidiphorus orbiculatus","Aspidiphorus orbiculatus","Aspidiphorus orbiculatus (Gyllenhal, 1808)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Sphindidae","Aspidiphorus","Aspidiphorus orbiculatus",NA,"63-.002-.001-.","FHL"
"375","Aspidiphorus orbiculatus","Aspidiphorus orbiculatus","Aspidiphorus orbiculatus (Gyllenhal, 1808)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Sphindidae","Aspidiphorus","Aspidiphorus orbiculatus",NA,"63-.002-.001-.","FHL"
"376","Astenus gracilis","Astenus gracilis","Astenus gracilis (Paykull, 1789)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Astenus","Astenus gracilis",NA,"23-.060-.010-.","FHL"
"377","Atheta spec.","Atheta","Atheta Thomson, 1858","GENUS","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta",NA,NA,"23-.188-.000-.","FHL"
"378","Atheta aegra","Atheta aegra","Atheta aegra (Heer, 1841)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta aegra",NA,"23-.188-.081-.","FHL"
"379","Atheta aeneicollis","Atheta aeneicollis","Atheta aeneicollis (Sharp, 1869)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta aeneicollis",NA,"23-.188-.178-.","FHL"
"380","Atheta aeneipennis","Atheta aeneipennis","Atheta aeneipennis (C. G. Thomson, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta aeneipennis",NA,"23-.188-.219-.","FHL"
"381","Atheta amicula","Atheta amicula","Atheta amicula (Stephens, 1832)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta amicula",NA,"23-.188-.068-.","FHL"
"382","Atheta amplicollis","Atheta amplicollis","Atheta amplicollis (Mulsant & Rey, 1873)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta amplicollis",NA,"23-.188-.1362.","FHL"
"383","Atheta arctica","Atheta arctica","Atheta arctica (C. G. Thomson, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta arctica",NA,"23-.188-.001-.","FHL"
"384","Atheta atramentaria","Atheta atramentaria","Atheta atramentaria (Gyllenhal, 1810)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta atramentaria",NA,"23-.188-.210-.","FHL"
"385","Atheta basicornis","Atheta basicornis","Atheta basicornis (Mulsant & Rey, 1852)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta basicornis",NA,"23-.188-.185-.","FHL"
"386","Atheta benickiella","Atheta benickiella","Atheta benickiella Brundin, 1948","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta benickiella",NA,"23-.188-.064-.","FHL"
"387","Atheta boreella","Atheta boreella","Atheta boreella Brundin, 1948","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta boreella",NA,"23-.188-.092-.","FHL"
"388","Atheta britanniae","Atheta britanniae","Atheta britanniae Bernhauer & Scheerpeltz, 1926","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta britanniae",NA,"23-.188-.198-.","FHL"
"389","Atheta cadaverina","Atheta cadaverina","Atheta cadaverina (C. N. F. Brisout de Barneville, 1860)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta cadaverina",NA,"23-.188-.118-.","FHL"
"390","Atheta canescens","Atheta canescens","Atheta canescens (Sharp, 1869)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta canescens",NA,"23-.188-.157-.","FHL"
"391","Atheta castanoptera","Atheta castanoptera","Atheta castanoptera (Mannerheim, 1830)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta castanoptera",NA,"23-.188-.165-.","FHL"
"392","Atheta cauta","Atheta cauta","Atheta cauta (Erichson, 1837)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta cauta",NA,"23-.188-.204-.","FHL"
"393","Atheta celata","Atheta celata","Atheta celata (Erichson, 1837)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta celata",NA,"23-.188-.159-.","FHL"
"394","Atheta cinnamoptera","Atheta cinnamoptera","Atheta cinnamoptera (C. G. Thomson, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta cinnamoptera",NA,"23-.188-.215-.","FHL"
"395","Atheta contristata","Atheta contristata","Atheta contristata (Kraatz, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta contristata",NA,"23-.188-.172-.","FHL"
"396","Atheta coriaria","Atheta coriaria","Atheta coriaria (Kraatz, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta coriaria",NA,"23-.188-.181-.","FHL"
"397","Atheta corvina","Atheta corvina","Atheta corvina (C. G. Thomson, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta corvina",NA,"23-.188-.049-.","FHL"
"398","Atheta crassicornis","Atheta crassicornis","Atheta crassicornis (Fabricius, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta crassicornis",NA,"23-.188-.199-.","FHL"
"399","Atheta cribrata","Atheta cribrata","Atheta cribrata (Kraatz, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta cribrata",NA,"23-.188-.094-.","FHL"
"400","Atheta dadopora","Atheta dadopora","Atheta dadopora C. G. Thomson, 1867","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta dadopora",NA,"23-.188-.155-.","FHL"
"401","Atheta deformis","Atheta deformis","Atheta deformis (Kraatz, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta deformis",NA,"23-.188-.025-.","FHL"
"402","Atheta divisa","Atheta divisa","Atheta divisa (Märkel, 1844)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta divisa",NA,"23-.188-.043-.","FHL"
"403","Atheta elongatula","Atheta elongatula","Atheta elongatula (Gravenhorst, 1802)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta elongatula",NA,"23-.188-.004-.","FHL"
"404","Atheta episcopalis","Atheta episcopalis","Atheta episcopalis Bernhauer, 1910","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta episcopalis",NA,"23-.188-.217-.","FHL"
"405","Atheta euryptera","Atheta euryptera","Atheta euryptera (Stephens, 1832)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta euryptera",NA,"23-.188-.042-.","FHL"
"406","Atheta foveicollis","Atheta foveicollis","Atheta foveicollis (Kraatz, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta foveicollis",NA,"23-.188-.062-.","FHL"
"407","Atheta fungi","Atheta fungi","Atheta fungi (Gravenhorst, 1806)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta fungi",NA,"23-.188-.136-.","FHL"
"408","Atheta fungicola","Atheta fungicola","Atheta fungicola (C. G. Thomson, 1852)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta fungicola",NA,"23-.188-.197-.","FHL"
"409","Atheta gagatina","Atheta gagatina","Atheta gagatina (Baudi di Selve, 1848)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta gagatina",NA,"23-.188-.110-.","FHL"
"410","Atheta graminicola","Atheta graminicola","Atheta graminicola (Gravenhorst, 1806)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta graminicola",NA,"23-.188-.170-.","FHL"
"411","Atheta hansseni","Atheta hansseni","Atheta hansseni A. Strand, 1943","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta hansseni",NA,"23-.188-.119-.","FHL"
"412","Atheta heymesi","Atheta heymesi","Atheta heymesi Hubenthal, 1913","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta heymesi",NA,"23-.188-.173-.","FHL"
"413","Atheta hybrida","Atheta hybrida","Atheta hybrida (Sharp, 1869)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta hybrida",NA,"23-.188-.112-.","FHL"
"414","Atheta hygrotopora","Atheta hygrotopora","Atheta hygrotopora (Kraatz, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta hygrotopora",NA,"23-.188-.006-.","FHL"
"415","Atheta hypnorum","Atheta hypnorum","Atheta hypnorum (Kiesenwetter, 1850)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta hypnorum",NA,"23-.188-.161-.","FHL"
"416","Atheta incognita","Atheta incognita","Atheta incognita (Sharp, 1869)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta incognita",NA,"23-.188-.176-.","FHL"
"417","Atheta indubia","Atheta indubia","Atheta indubia (Sharp, 1869)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta indubia",NA,"23-.188-.090-.","FHL"
"418","Atheta inquinula","Atheta inquinula","Atheta inquinula (Gravenhorst, 1802)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta inquinula",NA,"23-.188-.072-.","FHL"
"419","Atheta intermedia","Atheta intermedia","Atheta intermedia (C. G. Thomson, 1852)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta intermedia",NA,"23-.188-.182-.","FHL"
"420","Atheta laevana","Atheta laevana","Atheta laevana (Mulsant & Rey, 1852)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta laevana",NA,"23-.188-.207-.","FHL"
"421","Atheta laticollis","Atheta laticollis","Atheta laticollis (Stephens, 1832)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta laticollis",NA,"23-.188-.179-.","FHL"
"422","Atheta lativentris","Atheta lativentris","Atheta lativentris J. R. Sahlberg, 1876","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta lativentris",NA,"23-.188-.186-.","FHL"
"423","Atheta myrmecobia","Atheta lativentris","Atheta lativentris J. R. Sahlberg, 1876","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta lativentris",NA,"23-.188-.186-.","FHL"
"424","Atheta liliputana","Atheta liliputana","Atheta liliputana (C. N. F. Brisout de Barneville, 1860)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta liliputana",NA,"23-.188-.091-.","FHL"
"425","Atheta longicornis","Atheta longicornis","Atheta longicornis (Gravenhorst, 1802)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta longicornis",NA,"23-.188-.223-.","FHL"
"426","Atheta luridipennis","Atheta luridipennis","Atheta luridipennis (Mannerheim, 1830)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta luridipennis",NA,"23-.188-.007-.","FHL"
"427","Atheta macrocera","Atheta macrocera","Atheta macrocera (C. G. Thomson, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta macrocera",NA,"23-.188-.202-.","FHL"
"428","Atheta malleus","Atheta malleus","Atheta malleus Joy, 1913","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta malleus",NA,"23-.188-.016-.","FHL"
"429","Atheta marcida","Atheta marcida","Atheta marcida (Erichson, 1837)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta marcida",NA,"23-.188-.211-.","FHL"
"430","Atheta melanaria","Atheta melanaria","Atheta melanaria (Mannerheim, 1830)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta melanaria",NA,"23-.188-.131-.","FHL"
"431","Atheta melanocera","Atheta melanocera","Atheta melanocera (C. G. Thomson, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta melanocera",NA,"23-.188-.015-.","FHL"
"432","Atheta monticola","Atheta monticola","Atheta monticola (C. G. Thomson, 1852)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta monticola",NA,"23-.188-.038-.","FHL"
"433","Atheta gilvicollis","Atheta negligens","Atheta negligens (Mulsant & Rey, 1873)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta negligens",NA,"23-.188-.1361.","FHL"
"434","Atheta negligens","Atheta negligens","Atheta negligens (Mulsant & Rey, 1873)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta negligens",NA,"23-.188-.1361.","FHL"
"435","Atheta nidicola","Atheta nidicola","Atheta nidicola (Johannsen, 1914)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta nidicola",NA,"23-.188-.187-.","FHL"
"436","Atheta nigra","Atheta nigra","Atheta nigra (Kraatz, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta nigra",NA,"23-.188-.153-.","FHL"
"437","Atheta nigripes","Atheta nigripes","Atheta nigripes (C. G. Thomson, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta nigripes",NA,"23-.188-.208-.","FHL"
"438","Atheta oblita","Atheta oblita","Atheta oblita (Erichson, 1839)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta oblita",NA,"23-.188-.188-.","FHL"
"439","Atheta orbata","Atheta orbata","Atheta orbata (Erichson, 1837)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta orbata",NA,"23-.188-.135-.","FHL"
"440","Atheta orphana","Atheta orphana","Atheta orphana (Erichson, 1837)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta orphana",NA,"23-.188-.134-.","FHL"
"441","Atheta palleola","Atheta palleola","Atheta palleola (Erichson, 1837)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta palleola",NA,"23-.188-.063-.","FHL"
"442","Atheta pallidicornis","Atheta pallidicornis","Atheta pallidicornis (C. G. Thomson, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta pallidicornis",NA,"23-.188-.111-.","FHL"
"443","Atheta palustris","Atheta palustris","Atheta palustris (Kiesenwetter, 1844)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta palustris",NA,"23-.188-.020-.","FHL"
"444","Atheta paracrassicornis","Atheta paracrassicornis","Atheta paracrassicornis Brundin, 1954","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta paracrassicornis",NA,"23-.188-.200-.","FHL"
"445","Atheta picipes","Atheta picipes","Atheta picipes (C. G. Thomson, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta picipes",NA,"23-.188-.126-.","FHL"
"446","Atheta pilicornis","Atheta pilicornis","Atheta pilicornis (C. G. Thomson, 1852)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta pilicornis",NA,"23-.188-.196-.","FHL"
"447","Atheta pittionii","Atheta pittionii","Atheta pittionii Scheerpeltz, 1950","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta pittionii",NA,"23-.188-.070-.","FHL"
"448","Atheta putrida","Atheta putrida","Atheta putrida (Kraatz, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta putrida",NA,"23-.188-.213-.","FHL"
"449","Atheta ravilla","Atheta ravilla","Atheta ravilla (Erichson, 1839)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta ravilla",NA,"23-.188-.183-.","FHL"
"450","Atheta scotica","Atheta scotica","Atheta scotica (Elliman, 1909)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta scotica",NA,"23-.188-.023-.","FHL"
"451","Atheta sodalis","Atheta sodalis","Atheta sodalis (Erichson, 1837)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta sodalis",NA,"23-.188-.109-.","FHL"
"452","Atheta soedermani","Atheta sodermani","Atheta sodermani Bernhauer, 1931","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta sodermani",NA,"23-.188-.050-.","FHL"
"453","Atheta sordidula","Atheta sordidula","Atheta sordidula (Erichson, 1837)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta sordidula",NA,"23-.188-.158-.","FHL"
"454","Atheta subglabra","Atheta subglabra","Atheta subglabra (Sharp, 1869)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta subglabra",NA,"23-.188-.120-.","FHL"
"455","Atheta subtilis","Atheta subtilis","Atheta subtilis (W. Scriba, 1866)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta subtilis",NA,"23-.188-.076-.","FHL"
"456","Atheta triangulum","Atheta triangulum","Atheta triangulum (Kraatz, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta triangulum",NA,"23-.188-.168-.","FHL"
"457","Atheta trinotata","Atheta trinotata","Atheta trinotata (Kraatz, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta trinotata",NA,"23-.188-.114-.","FHL"
"458","Atheta nigricornis","Atheta vaga","Atheta vaga (Heer, 1839)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta vaga",NA,"23-.188-.045-.","FHL"
"459","Atheta griepi","Atheta voeslauensis","Atheta voeslauensis Bernhauer, 1944","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta voeslauensis",NA,"23-.188-.104-.","FHL"
"460","Atheta voeslauensis","Atheta voeslauensis","Atheta voeslauensis Bernhauer, 1944","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta voeslauensis",NA,"23-.188-.104-.","FHL"
"461","Atheta volans","Atheta volans","Atheta volans (W. Scriba, 1859)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta volans",NA,"23-.188-.017-.","FHL"
"462","Atheta xanthopus","Atheta xanthopus","Atheta xanthopus (C. G. Thomson, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Atheta","Atheta xanthopus",NA,"23-.188-.169-.","FHL"
