Missing_SpeciesID,Similar_Species,Source,Comments
Tyrus mucronatus,Euplectus punctatus,FHL,
Tyrus mucronatus,Euplectus sparsus,FHL,
Tyrus mucronatus,Leptoplectus spinolae,FHL,
Tyrus mucronatus,Plectophloeus erichsoni,FHL,
Tyrus mucronatus,Plectophloeus fischeri,FHL,
Tyrus mucronatus,Plectophloeus nitidus,FHL,
Tyrus mucronatus,Plectophloeus nubigena,FHL,
Tyrus mucronatus,Saulcyella schmidtii,FHL,
Tyrus mucronatus,Trichonyx sulcicollis,FHL,
Agaricochara latissima,Gyrophaena boleti,FHL,
Agaricochara latissima,Gyrophaena fasciata,FHL,
Agaricochara latissima,Gyrophaena joyioides,FHL,
Agaricochara latissima,Gyrophaena manca,FHL,
Agaricochara latissima,Gyrophaena minima,FHL,
Agaricochara latissima,Gyrophaena nana,FHL,
Agaricochara latissima,Gyrophaena polita,FHL,
Agaricochara latissima,Gyrophaena strictula,FHL,
Nosodendron fasciculare,Byrrhus pilula,FHL,"Different family, but close in key"
Oligota granaria,Holobus apicatus,FHL,
Leptoplectus spinolae,Euplectus bescidicus,FHL,
Leptoplectus spinolae,Euplectus bonvouloiri,FHL,
Leptoplectus spinolae,Euplectus brunneus,FHL,
Leptoplectus spinolae,Euplectus decipiens,FHL,
Leptoplectus spinolae,Euplectus infirmus,FHL,
Leptoplectus spinolae,Euplectus karstenii,FHL,
Leptoplectus spinolae,Euplectus kirbii,FHL,
Leptoplectus spinolae,Euplectus mutator,FHL,
Leptoplectus spinolae,Euplectus nanus,FHL,
Leptoplectus spinolae,Euplectus piceus,FHL,
Leptoplectus spinolae,Euplectus punctatus,FHL,
Leptoplectus spinolae,Euplectus sparsus,FHL,
Saulcyella schmidtii,Bibloporus bicolor,FHL,
Saulcyella schmidtii,Bibloporus mayeti,FHL,
Saulcyella schmidtii,Bibloporus minutus,FHL,
Saulcyella schmidtii,Euplectus bescidicus,FHL,
Saulcyella schmidtii,Euplectus bonvouloiri,FHL,
Saulcyella schmidtii,Euplectus brunneus,FHL,
Saulcyella schmidtii,Euplectus decipiens,FHL,
Saulcyella schmidtii,Euplectus infirmus,FHL,
Saulcyella schmidtii,Euplectus karstenii,FHL,
Saulcyella schmidtii,Euplectus kirbii,FHL,
Saulcyella schmidtii,Euplectus mutator,FHL,
Saulcyella schmidtii,Euplectus nanus,FHL,
Saulcyella schmidtii,Euplectus piceus,FHL,
Saulcyella schmidtii,Euplectus punctatus,FHL,
Saulcyella schmidtii,Euplectus sparsus,FHL,
Saulcyella schmidtii,Leptoplectus spinolae,FHL,
Saulcyella schmidtii,Plectophloeus erichsoni,FHL,
Saulcyella schmidtii,Plectophloeus fischeri,FHL,
Saulcyella schmidtii,Plectophloeus nitidus,FHL,
Saulcyella schmidtii,Plectophloeus nubigena,FHL,
Trichonyx sulcicollis,Bibloporus bicolor,FHL,
Trichonyx sulcicollis,Bibloporus mayeti,FHL,
Trichonyx sulcicollis,Bibloporus minutus,FHL,
Trichonyx sulcicollis,Euplectus bescidicus,FHL,
Trichonyx sulcicollis,Euplectus bonvouloiri,FHL,
Trichonyx sulcicollis,Euplectus brunneus,FHL,
Trichonyx sulcicollis,Euplectus decipiens,FHL,
Trichonyx sulcicollis,Euplectus infirmus,FHL,
Trichonyx sulcicollis,Euplectus karstenii,FHL,
Trichonyx sulcicollis,Euplectus kirbii,FHL,
Trichonyx sulcicollis,Euplectus mutator,FHL,
Trichonyx sulcicollis,Euplectus nanus,FHL,
Trichonyx sulcicollis,Euplectus piceus,FHL,
Trichonyx sulcicollis,Euplectus punctatus,FHL,
Trichonyx sulcicollis,Euplectus sparsus,FHL,
Trichonyx sulcicollis,Leptoplectus spinolae,FHL,
Trichonyx sulcicollis,Plectophloeus erichsoni,FHL,
Trichonyx sulcicollis,Plectophloeus fischeri,FHL,
Trichonyx sulcicollis,Plectophloeus nitidus,FHL,
Trichonyx sulcicollis,Plectophloeus nubigena,FHL,
Trichonyx sulcicollis,Saulcyella schmidtii,FHL,
Caenoscelis ferruginea,Atomaria abietina,FHL,
Caenoscelis ferruginea,Atomaria alpina,FHL,
Caenoscelis ferruginea,Atomaria atrata,FHL,
Caenoscelis ferruginea,Atomaria bella,FHL,
Caenoscelis ferruginea,Atomaria diluta,FHL,
Caenoscelis ferruginea,Atomaria elongatula,FHL,
Caenoscelis ferruginea,Atomaria lohsei,FHL,
Caenoscelis ferruginea,Atomaria longicornis,FHL,
Caenoscelis ferruginea,Atomaria nigrirostris,FHL,
Caenoscelis ferruginea,Atomaria ornata,FHL,
Caenoscelis ferruginea,Atomaria pulchra,FHL,
